"Acct_new","Recycle","SolidWaste","Opt_out","Open","Click"
"320-6592042",1,1,"","1","0"
"320-6599864",1,1,"","1","1"
"320-6603153",1,1,"","1","1"
"320-6607824",1,1,"","1","1"
"320-6609630",0,1,"","1","1"
"320-6613731",1,1,"","1","0"
"320-6616056",1,1,"","1","1"
"320-6636914",1,1,"","1","1"
"320-6642375",1,1,"","1","1"
"320-6661425",1,1,"","1","1"
"320-6664437",1,1,"","1","0"
"320-6664536",1,1,"","1","1"
"320-6665301",1,1,"","1","1"
"320-6665459",1,1,"","1","1"
"320-6665616",1,1,"","1","0"
"320-6680839",1,1,"","1","1"
"320-6681357",1,1,"","1","1"
"320-6682231",1,1,"","1","0"
"320-6700553",1,1,"","1","1"
"320-6705370",1,1,"","1","0"
"320-6713317",1,1,"","1","1"
"320-6715387",1,1,"","1","1"
"320-6716617",1,1,"","1","1"
"320-6719595",1,1,"","1","1"
"320-6720932",1,1,"","1","0"
"320-6728570",1,1,"","1","1"
"320-6730287",1,1,"","1","1"
"320-6731392",1,1,"","1","1"
"320-6733828",1,1,"","1","1"
"320-6740104",0,1,"","1","1"
"320-6744064",1,1,"","1","0"
"320-6745855",1,1,"","1","1"
"320-6753131",1,1,"","1","1"
"320-6760375",1,1,"","1","1"
"320-6764393",1,1,"","1","0"
"320-6779938",1,1,"","1","1"
"320-6786438",1,1,"","1","1"
"320-6786636",1,1,"","1","1"
"320-6800155",0,1,"","1","1"
"320-6812259",1,1,"","1","1"
"320-6814735",1,1,"","1","1"
"320-6819056",1,1,"","1","0"
"320-6826861",1,1,"","1","1"
"320-6830855",1,1,"","1","1"
"320-6831531",1,1,"","1","1"
"320-6844914",1,1,"","1","1"
"320-6852081",0,1,"","1","1"
"320-6857221",1,1,"","1","1"
"320-7607412",1,1,"","1","0"
"320-7658151",1,1,"","1","1"
"865-1000058",0,1,"","1","1"
"865-1000090",1,1,"","1","0"
"865-1000106",0,1,"","1","0"
"865-1000107",1,1,"","1","1"
"865-1000117",1,1,"","1","1"
"865-1000254",1,1,"","1","1"
"865-1000303",0,1,"","1","0"
"865-1000340",0,1,"","1","0"
"865-1000419",1,1,"","1","0"
"865-1000440",1,1,"","1","0"
"865-1000535",1,1,"","1","0"
"865-1000537",1,1,"","1","0"
"865-1000538",1,1,"","1","0"
"865-1000562",1,1,"","1","0"
"865-1000583",1,1,"","1","0"
"865-1000650",0,1,"","1","0"
"865-1000682",1,1,"","1","0"
"865-1000733",1,1,"","1","0"
"865-1000777",1,1,"","1","1"
"865-1000785",1,1,"","1","1"
"865-1000805",1,1,"","1","0"
"865-1000810",1,1,"","1","1"
"865-1000841",0,1,"","1","1"
"865-1000845",1,1,"","1","0"
"865-1000857",0,1,"","1","1"
"865-1000868",1,1,"","1","0"
"865-1000879",0,1,"","1","0"
"865-1000890",0,1,"","1","0"
"865-1000918",0,1,"","1","1"
"865-1000973",0,1,"","1","0"
"865-1000976",1,1,"","1","0"
"865-1001015",0,1,"","1",""
"865-1001077",0,1,"","1","1"
"865-1001083",1,1,"","1","1"
"865-1001086",0,1,"","1","1"
"865-1001098",0,1,"","1","0"
"865-1001164",0,1,"","1","0"
"865-1001189",0,1,"","1","1"
"865-1001231",1,1,"","1","0"
"865-1001234",1,1,"","1","0"
"865-1001255",1,1,"","1","0"
"865-1001277",0,1,"","1","0"
"865-1001321",1,1,"","1",""
"865-1001364",1,1,"","1","1"
"865-1001365",1,1,"","1","1"
"865-1001393",1,1,"","1","0"
"865-1001404",1,1,"","1","0"
"865-1001443",0,1,"","1","0"
"865-1001446",0,1,"","1","0"
"865-1001465",0,1,"","1","0"
"865-1001560",0,1,"","1","1"
"865-1001600",1,1,"","1","1"
"865-1001650",0,1,"","1","1"
"865-1001651",0,1,"","1","0"
"865-1001681",1,1,"","1","1"
"865-1001712",0,1,"","1","0"
"865-1001743",1,1,"","1","0"
"865-1001747",0,1,"","1","1"
"865-1001749",0,1,"","1","0"
"865-1001775",0,1,"","1","1"
"865-1001802",1,1,"","1","1"
"865-1001812",0,1,"","1","1"
"865-1001878",0,1,"","1","0"
"865-1001888",0,1,"","1","1"
"865-1001926",1,1,"","1","1"
"865-1001927",1,1,"","1","0"
"865-1001928",0,1,"","1","0"
"865-1001931",0,1,"","1","1"
"865-1001937",0,1,"","1","0"
"865-1001943",0,1,"","1","0"
"865-1001946",1,1,"","1","0"
"865-1001975",0,1,"","1","0"
"865-1001985",0,1,"","1","0"
"865-1002011",0,1,"","1","0"
"865-1002038",1,1,"","1","0"
"865-1002043",1,1,"","1","1"
"865-1002122",1,1,"","1","0"
"865-1002193",0,1,"","1","0"
"865-1002215",0,1,"","1","0"
"865-1002229",1,1,"","1","1"
"865-1002242",1,1,"","1","0"
"865-1002247",0,1,"","1","0"
"865-1002252",0,1,"","1","1"
"865-1002296",1,1,"","1","0"
"865-1002297",1,1,"","1","1"
"865-1002311",0,1,"","1","0"
"865-1002329",1,1,"","1","1"
"865-1002347",0,1,"","1","0"
"865-1002373",1,1,"","1","0"
"865-1002385",0,1,"","1","0"
"865-1002431",1,1,"","1","1"
"865-1002483",1,1,"","1","1"
"865-1002495",0,1,"","1","1"
"865-1002502",1,1,"","1","0"
"865-1002579",1,1,"","1","0"
"865-1002583",0,1,"","1","0"
"865-1002617",1,1,"","1","1"
"865-1002625",1,1,"","1","0"
"865-1002631",1,1,"","1","0"
"865-1002675",1,1,"","1","1"
"865-1002700",0,1,"","1","0"
"865-1002711",1,1,"","1","1"
"865-1002712",0,1,"","1","0"
"865-1002734",0,1,"","1","0"
"865-1002761",1,1,"","1","1"
"865-1002837",1,1,"","1","0"
"865-1002846",0,1,"","1","1"
"865-1002976",1,1,"","1","0"
"865-1002987",1,1,"","1","0"
"865-1002988",1,1,"","1","0"
"865-1003030",0,1,"","1","1"
"865-1003069",1,1,"","1","0"
"865-1003117",1,1,"","1","0"
"865-1003120",1,1,"","1",""
"865-1003125",0,1,"","1","0"
"865-1003135",0,1,"","1","0"
"865-1003252",0,1,"","1","1"
"865-1003264",1,1,"","1","1"
"865-1003285",1,1,"","1","0"
"865-1003343",0,1,"","1","1"
"865-1003363",0,1,"","1","0"
"865-1003464",1,1,"","1","0"
"865-1003470",1,1,"","1","0"
"865-1003473",1,1,"","1","1"
"865-1003477",0,1,"","1","1"
"865-1003485",0,1,"","1","1"
"865-1003497",1,1,"","1","1"
"865-1003519",0,1,"","1","0"
"865-1003541",0,1,"","1","0"
"865-1003665",1,1,"","1","0"
"865-1003681",0,1,"","1","1"
"865-1003682",1,1,"","1","1"
"865-1003687",1,1,"","1","0"
"865-1003688",1,1,"","1","1"
"865-1003690",1,1,"","1","0"
"865-1003697",0,1,"","1","1"
"865-1003702",1,1,"","1","0"
"865-1003713",0,1,"","1","0"
"865-1003725",0,1,"","1","0"
"865-1003734",1,1,"","1","0"
"865-1003740",1,1,"","1","0"
"865-1003747",0,1,"","1","0"
"865-1003791",1,1,"","1","0"
"865-1003795",1,1,"","1","1"
"865-1003799",0,1,"","1","0"
"865-1003821",0,1,"","1","1"
"865-1003822",0,1,"","1",""
"865-1003855",0,1,"","1","0"
"865-1003877",0,1,"","1","1"
"865-1003892",0,1,"","1","1"
"865-1003902",1,1,"","1","1"
"865-1003908",1,1,"","1",""
"865-1003909",1,1,"","1","1"
"865-1003916",1,1,"","1","0"
"865-1003920",1,1,"","1","1"
"865-1003928",1,1,"","1",""
"865-1003949",0,1,"","1","1"
"865-1003965",0,1,"","1",""
"865-1004000",0,1,"","1","0"
"865-1004014",1,1,"","1","1"
"865-1004024",0,1,"","1","1"
"865-1004051",0,1,"","1","0"
"865-1004054",1,1,"","1","0"
"865-1004059",0,1,"","1","1"
"865-1004111",0,1,"","1","1"
"865-1004122",1,1,"","1","0"
"865-1004134",0,1,"","1","1"
"865-1004158",0,1,"","1","0"
"865-1004160",0,1,"","1","1"
"865-1004175",1,1,"","1","1"
"865-1004181",0,1,"","1","0"
"865-1004184",1,1,"","1","0"
"865-1004204",0,1,"","1","0"
"865-1004216",0,1,"","1","1"
"865-1004218",1,1,"","1","0"
"865-1004233",0,1,"","1","0"
"865-1004237",0,1,"","1","1"
"865-1004244",0,1,"","1","1"
"865-1004256",1,1,"","1","1"
"865-1004263",0,1,"","1","0"
"865-1004320",1,1,"","1","0"
"865-1004329",0,1,"","1","1"
"865-1004366",0,1,"","1","1"
"865-1004383",1,1,"","1","1"
"865-1004405",1,1,"","1","1"
